model,experiment,year,pr
ACCESS-CM2,historical,1960,119.40209715
ACCESS-CM2,historical,1961,71.32961737
ACCESS-CM2,historical,1962,104.85872584
ACCESS-CM2,historical,1963,69.43329060
ACCESS-CM2,historical,1964,62.73882969
ACCESS-CM2,historical,1965,97.47388055
ACCESS-CM2,historical,1966,56.51541652
ACCESS-CM2,historical,1967,98.59841839
ACCESS-CM2,historical,1968,106.55226460
ACCESS-CM2,historical,1969,90.25360729
ACCESS-CM2,historical,1970,79.37051661
ACCESS-CM2,historical,1971,109.74214772
ACCESS-CM2,historical,1972,157.11775138
ACCESS-CM2,historical,1973,154.58396205
ACCESS-CM2,historical,1974,69.91905677
ACCESS-CM2,historical,1975,145.79761256
ACCESS-CM2,historical,1976,46.58403771
ACCESS-CM2,historical,1977,79.74330819
ACCESS-CM2,historical,1978,96.80175969
ACCESS-CM2,historical,1979,179.51644494
ACCESS-CM2,historical,1980,61.71598441
ACCESS-CM2,historical,1981,95.57813120
ACCESS-CM2,historical,1982,49.96386313
ACCESS-CM2,historical,1983,80.97577775
ACCESS-CM2,historical,1984,81.38706750
ACCESS-CM2,historical,1985,40.25986921
ACCESS-CM2,historical,1986,248.37061918
ACCESS-CM2,historical,1987,100.49386189
ACCESS-CM2,historical,1988,70.86918145
ACCESS-CM2,historical,1989,61.30858221
ACCESS-CM2,historical,1990,159.06000965
ACCESS-CM2,historical,1991,179.17743778
ACCESS-CM2,historical,1992,126.81342157
ACCESS-CM2,historical,1993,213.69825856
ACCESS-CM2,historical,1994,101.02242543
ACCESS-CM2,historical,1995,117.77443912
ACCESS-CM2,historical,1996,113.26171719
ACCESS-CM2,historical,1997,125.63602711
ACCESS-CM2,historical,1998,94.86244705
ACCESS-CM2,historical,1999,82.75612978
ACCESS-CM2,historical,2000,152.43570591
ACCESS-CM2,historical,2001,285.76990107
ACCESS-CM2,historical,2002,84.24682061
ACCESS-CM2,historical,2003,238.31987168
ACCESS-CM2,historical,2004,49.02414763
ACCESS-CM2,historical,2005,381.54794333
ACCESS-CM2,historical,2006,61.31537962
ACCESS-CM2,historical,2007,111.50524786
ACCESS-CM2,historical,2008,78.01776021
ACCESS-CM2,historical,2009,83.97972249
ACCESS-CM2,historical,2010,31.25685633
ACCESS-CM2,historical,2011,89.25447541
ACCESS-CM2,historical,2012,169.94177213
ACCESS-CM2,historical,2013,98.04912321
ACCESS-CM2,historical,2014,132.00387033
ACCESS-CM2,ssp126,2015,99.65666952
ACCESS-CM2,ssp126,2016,119.70784786
ACCESS-CM2,ssp126,2017,182.89704965
ACCESS-CM2,ssp126,2018,44.74205901
ACCESS-CM2,ssp126,2019,46.90524015
ACCESS-CM2,ssp126,2020,220.54536777
ACCESS-CM2,ssp126,2021,109.67315904
ACCESS-CM2,ssp126,2022,134.26077753
ACCESS-CM2,ssp126,2023,49.63739160
ACCESS-CM2,ssp126,2024,52.62232677
ACCESS-CM2,ssp126,2025,60.64481700
ACCESS-CM2,ssp126,2026,93.88153902
ACCESS-CM2,ssp126,2027,105.32587212
ACCESS-CM2,ssp126,2028,193.26864539
ACCESS-CM2,ssp126,2029,161.02474844
ACCESS-CM2,ssp126,2030,82.73835181
ACCESS-CM2,ssp126,2031,112.32404389
ACCESS-CM2,ssp126,2032,144.25955587
ACCESS-CM2,ssp126,2033,115.46277102
ACCESS-CM2,ssp126,2034,169.74741484
ACCESS-CM2,ssp126,2035,88.62354921
ACCESS-CM2,ssp126,2036,69.20952863
ACCESS-CM2,ssp126,2037,195.13035997
ACCESS-CM2,ssp126,2038,61.61197069
ACCESS-CM2,ssp126,2039,93.34524378
ACCESS-CM2,ssp126,2040,59.62743977
ACCESS-CM2,ssp126,2041,132.52713079
ACCESS-CM2,ssp126,2042,129.48870709
ACCESS-CM2,ssp126,2043,47.28561919
ACCESS-CM2,ssp126,2044,62.97651516
ACCESS-CM2,ssp126,2045,125.19786449
ACCESS-CM2,ssp126,2046,150.73645382
ACCESS-CM2,ssp126,2047,96.26592120
ACCESS-CM2,ssp126,2048,65.55347385
ACCESS-CM2,ssp126,2049,55.10143104
ACCESS-CM2,ssp126,2050,82.97679047
ACCESS-CM2,ssp126,2051,216.10740695
ACCESS-CM2,ssp126,2052,198.20836027
ACCESS-CM2,ssp126,2053,118.99840139
ACCESS-CM2,ssp126,2054,59.50372021
ACCESS-CM2,ssp126,2055,182.67881890
ACCESS-CM2,ssp126,2056,127.35626788
ACCESS-CM2,ssp126,2057,53.48540002
ACCESS-CM2,ssp126,2058,211.49721476
ACCESS-CM2,ssp126,2059,140.55291777
ACCESS-CM2,ssp126,2060,125.98976891
ACCESS-CM2,ssp126,2061,36.17856186
ACCESS-CM2,ssp126,2062,86.52248647
ACCESS-CM2,ssp126,2063,116.01529945
ACCESS-CM2,ssp126,2064,37.57730989
ACCESS-CM2,ssp126,2065,153.04731215
ACCESS-CM2,ssp126,2066,83.85235444
ACCESS-CM2,ssp126,2067,100.31028902
ACCESS-CM2,ssp126,2068,97.88735359
ACCESS-CM2,ssp126,2069,129.57345146
ACCESS-CM2,ssp126,2070,74.81935035
ACCESS-CM2,ssp126,2071,120.90947555
ACCESS-CM2,ssp126,2072,77.33263952
ACCESS-CM2,ssp126,2073,76.53303659
ACCESS-CM2,ssp126,2074,84.26065810
ACCESS-CM2,ssp126,2075,149.11858799
ACCESS-CM2,ssp126,2076,149.82160571
ACCESS-CM2,ssp126,2077,113.26008626
ACCESS-CM2,ssp126,2078,107.65050423
ACCESS-CM2,ssp126,2079,200.45207720
ACCESS-CM2,ssp126,2080,89.54996025
ACCESS-CM2,ssp126,2081,102.82133964
ACCESS-CM2,ssp126,2082,97.32840428
ACCESS-CM2,ssp126,2083,40.62725441
ACCESS-CM2,ssp126,2084,82.82263042
ACCESS-CM2,ssp126,2085,166.55523046
ACCESS-CM2,ssp126,2086,89.02236460
ACCESS-CM2,ssp126,2087,12.36663664
ACCESS-CM2,ssp126,2088,51.09531775
ACCESS-CM2,ssp126,2089,107.98418426
ACCESS-CM2,ssp126,2090,120.13689828
ACCESS-CM2,ssp126,2091,45.89066580
ACCESS-CM2,ssp126,2092,198.28551032
ACCESS-CM2,ssp126,2093,145.36670644
ACCESS-CM2,ssp126,2094,106.18880990
ACCESS-CM2,ssp126,2095,95.88413565
ACCESS-CM2,ssp126,2096,142.11164092
ACCESS-CM2,ssp126,2097,56.45306436
ACCESS-CM2,ssp126,2098,59.76576267
ACCESS-CM2,ssp126,2099,184.86570013
ACCESS-CM2,ssp245,2015,119.25913691
ACCESS-CM2,ssp245,2016,178.38063657
ACCESS-CM2,ssp245,2017,64.98334786
ACCESS-CM2,ssp245,2018,98.99152917
ACCESS-CM2,ssp245,2019,80.32419253
ACCESS-CM2,ssp245,2020,111.76156454
ACCESS-CM2,ssp245,2021,86.09898828
ACCESS-CM2,ssp245,2022,111.59655298
ACCESS-CM2,ssp245,2023,65.27243776
ACCESS-CM2,ssp245,2024,196.35827294
ACCESS-CM2,ssp245,2025,77.08927157
ACCESS-CM2,ssp245,2026,87.56934332
ACCESS-CM2,ssp245,2027,203.84486930
ACCESS-CM2,ssp245,2028,151.91491623
ACCESS-CM2,ssp245,2029,90.28759549
ACCESS-CM2,ssp245,2030,48.82375624
ACCESS-CM2,ssp245,2031,89.82951757
ACCESS-CM2,ssp245,2032,34.52173529
ACCESS-CM2,ssp245,2033,140.93544799
ACCESS-CM2,ssp245,2034,172.20249628
ACCESS-CM2,ssp245,2035,150.50366864
ACCESS-CM2,ssp245,2036,100.96832607
ACCESS-CM2,ssp245,2037,122.47918864
ACCESS-CM2,ssp245,2038,57.45480083
ACCESS-CM2,ssp245,2039,95.75087540
ACCESS-CM2,ssp245,2040,45.15758831
ACCESS-CM2,ssp245,2041,163.44561731
ACCESS-CM2,ssp245,2042,129.90960524
ACCESS-CM2,ssp245,2043,120.23738598
ACCESS-CM2,ssp245,2044,35.74069327
ACCESS-CM2,ssp245,2045,68.33712493
ACCESS-CM2,ssp245,2046,63.83008695
ACCESS-CM2,ssp245,2047,93.77164034
ACCESS-CM2,ssp245,2048,126.42654717
ACCESS-CM2,ssp245,2049,209.21450109
ACCESS-CM2,ssp245,2050,139.46408186
ACCESS-CM2,ssp245,2051,147.03722197
ACCESS-CM2,ssp245,2052,79.93087651
ACCESS-CM2,ssp245,2053,188.09857719
ACCESS-CM2,ssp245,2054,184.42996667
ACCESS-CM2,ssp245,2055,68.70373705
ACCESS-CM2,ssp245,2056,72.44336555
ACCESS-CM2,ssp245,2057,167.92479720
ACCESS-CM2,ssp245,2058,40.68136034
ACCESS-CM2,ssp245,2059,131.13918357
ACCESS-CM2,ssp245,2060,72.43096930
ACCESS-CM2,ssp245,2061,145.58621438
ACCESS-CM2,ssp245,2062,50.99748266
ACCESS-CM2,ssp245,2063,48.21380410
ACCESS-CM2,ssp245,2064,80.23945119
ACCESS-CM2,ssp245,2065,89.72105305
ACCESS-CM2,ssp245,2066,84.26988523
ACCESS-CM2,ssp245,2067,122.08896706
ACCESS-CM2,ssp245,2068,98.32196922
ACCESS-CM2,ssp245,2069,184.07487837
ACCESS-CM2,ssp245,2070,63.84692696
ACCESS-CM2,ssp245,2071,142.87369470
ACCESS-CM2,ssp245,2072,58.16662985
ACCESS-CM2,ssp245,2073,112.93273522
ACCESS-CM2,ssp245,2074,84.40758595
ACCESS-CM2,ssp245,2075,60.70730779
ACCESS-CM2,ssp245,2076,114.55869986
ACCESS-CM2,ssp245,2077,292.61348089
ACCESS-CM2,ssp245,2078,94.69019018
ACCESS-CM2,ssp245,2079,112.24959738
ACCESS-CM2,ssp245,2080,140.84891842
ACCESS-CM2,ssp245,2081,56.21285520
ACCESS-CM2,ssp245,2082,146.34207464
ACCESS-CM2,ssp245,2083,179.18951723
ACCESS-CM2,ssp245,2084,142.20629086
ACCESS-CM2,ssp245,2085,126.88470283
ACCESS-CM2,ssp245,2086,161.61158414
ACCESS-CM2,ssp245,2087,78.51613385
ACCESS-CM2,ssp245,2088,71.54409786
ACCESS-CM2,ssp245,2089,80.01255046
ACCESS-CM2,ssp245,2090,95.89829711
ACCESS-CM2,ssp245,2091,64.53168460
ACCESS-CM2,ssp245,2092,55.00918798
ACCESS-CM2,ssp245,2093,66.60273680
ACCESS-CM2,ssp245,2094,120.69676508
ACCESS-CM2,ssp245,2095,176.24442986
ACCESS-CM2,ssp245,2096,253.23774715
ACCESS-CM2,ssp245,2097,65.57455691
ACCESS-CM2,ssp245,2098,43.02188015
ACCESS-CM2,ssp245,2099,196.53357837
ACCESS-CM2,ssp370,2015,128.05097020
ACCESS-CM2,ssp370,2016,405.73598851
ACCESS-CM2,ssp370,2017,187.01799938
ACCESS-CM2,ssp370,2018,225.19277783
ACCESS-CM2,ssp370,2019,96.58426688
ACCESS-CM2,ssp370,2020,202.48242876
ACCESS-CM2,ssp370,2021,69.62492878
ACCESS-CM2,ssp370,2022,96.34165200
ACCESS-CM2,ssp370,2023,166.05028125
ACCESS-CM2,ssp370,2024,70.14999219
ACCESS-CM2,ssp370,2025,114.53497461
ACCESS-CM2,ssp370,2026,102.36302773
ACCESS-CM2,ssp370,2027,132.12429666
ACCESS-CM2,ssp370,2028,171.39265935
ACCESS-CM2,ssp370,2029,73.73182573
ACCESS-CM2,ssp370,2030,34.88176060
ACCESS-CM2,ssp370,2031,86.78158238
ACCESS-CM2,ssp370,2032,83.23794903
ACCESS-CM2,ssp370,2033,89.30722846
ACCESS-CM2,ssp370,2034,68.05050195
ACCESS-CM2,ssp370,2035,77.71209542
ACCESS-CM2,ssp370,2036,73.06454627
ACCESS-CM2,ssp370,2037,110.56085922
ACCESS-CM2,ssp370,2038,183.87574756
ACCESS-CM2,ssp370,2039,52.63135984
ACCESS-CM2,ssp370,2040,199.44552851
ACCESS-CM2,ssp370,2041,184.26356336
ACCESS-CM2,ssp370,2042,147.06614389
ACCESS-CM2,ssp370,2043,76.65989794
ACCESS-CM2,ssp370,2044,55.73138283
ACCESS-CM2,ssp370,2045,245.13007532
ACCESS-CM2,ssp370,2046,60.60956196
ACCESS-CM2,ssp370,2047,68.96490574
ACCESS-CM2,ssp370,2048,143.54893120
ACCESS-CM2,ssp370,2049,119.03770952
ACCESS-CM2,ssp370,2050,153.51427013
ACCESS-CM2,ssp370,2051,91.41308621
ACCESS-CM2,ssp370,2052,104.96566208
ACCESS-CM2,ssp370,2053,135.39224266
ACCESS-CM2,ssp370,2054,79.36877783
ACCESS-CM2,ssp370,2055,266.80881441
ACCESS-CM2,ssp370,2056,45.47698367
ACCESS-CM2,ssp370,2057,289.10888740
ACCESS-CM2,ssp370,2058,117.87256808
ACCESS-CM2,ssp370,2059,173.82635670
ACCESS-CM2,ssp370,2060,199.74552867
ACCESS-CM2,ssp370,2061,295.28131816
ACCESS-CM2,ssp370,2062,81.49324596
ACCESS-CM2,ssp370,2063,97.81629383
ACCESS-CM2,ssp370,2064,105.53388712
ACCESS-CM2,ssp370,2065,95.70078047
ACCESS-CM2,ssp370,2066,92.57786417
ACCESS-CM2,ssp370,2067,75.50285896
ACCESS-CM2,ssp370,2068,129.65372364
ACCESS-CM2,ssp370,2069,168.41420627
ACCESS-CM2,ssp370,2070,39.46494967
ACCESS-CM2,ssp370,2071,176.98396703
ACCESS-CM2,ssp370,2072,57.28995946
ACCESS-CM2,ssp370,2073,116.56067535
ACCESS-CM2,ssp370,2074,183.90419125
ACCESS-CM2,ssp370,2075,61.63318198
ACCESS-CM2,ssp370,2076,159.44477461
ACCESS-CM2,ssp370,2077,129.36541398
ACCESS-CM2,ssp370,2078,185.61311599
ACCESS-CM2,ssp370,2079,117.82401415
ACCESS-CM2,ssp370,2080,145.96356910
ACCESS-CM2,ssp370,2081,70.81664935
ACCESS-CM2,ssp370,2082,108.20928905
ACCESS-CM2,ssp370,2083,62.88913250
ACCESS-CM2,ssp370,2084,75.07059702
ACCESS-CM2,ssp370,2085,52.72201760
ACCESS-CM2,ssp370,2086,152.77452369
ACCESS-CM2,ssp370,2087,126.12217718
ACCESS-CM2,ssp370,2088,217.18215893
ACCESS-CM2,ssp370,2089,150.38285961
ACCESS-CM2,ssp370,2090,192.92759376
ACCESS-CM2,ssp370,2091,180.42143406
ACCESS-CM2,ssp370,2092,88.14631330
ACCESS-CM2,ssp370,2093,245.40280887
ACCESS-CM2,ssp370,2094,98.62782865
ACCESS-CM2,ssp370,2095,82.33971902
ACCESS-CM2,ssp370,2096,45.70985095
ACCESS-CM2,ssp370,2097,156.85533969
ACCESS-CM2,ssp370,2098,72.04726695
ACCESS-CM2,ssp370,2099,49.86119663
ACCESS-CM2,ssp585,2015,172.94258973
ACCESS-CM2,ssp585,2016,91.95418429
ACCESS-CM2,ssp585,2017,48.66854292
ACCESS-CM2,ssp585,2018,91.61608923
ACCESS-CM2,ssp585,2019,170.10030201
ACCESS-CM2,ssp585,2020,98.82557634
ACCESS-CM2,ssp585,2021,58.97714566
ACCESS-CM2,ssp585,2022,71.84478075
ACCESS-CM2,ssp585,2023,178.33030618
ACCESS-CM2,ssp585,2024,135.02504667
ACCESS-CM2,ssp585,2025,77.58125661
ACCESS-CM2,ssp585,2026,17.11853945
ACCESS-CM2,ssp585,2027,81.97029724
ACCESS-CM2,ssp585,2028,94.45458371
ACCESS-CM2,ssp585,2029,103.53359682
ACCESS-CM2,ssp585,2030,162.84944635
ACCESS-CM2,ssp585,2031,101.96927159
ACCESS-CM2,ssp585,2032,112.59463778
ACCESS-CM2,ssp585,2033,101.78697291
ACCESS-CM2,ssp585,2034,83.30850010
ACCESS-CM2,ssp585,2035,149.23846251
ACCESS-CM2,ssp585,2036,79.06081282
ACCESS-CM2,ssp585,2037,266.59071657
ACCESS-CM2,ssp585,2038,61.11955380
ACCESS-CM2,ssp585,2039,81.13909359
ACCESS-CM2,ssp585,2040,96.16510735
ACCESS-CM2,ssp585,2041,92.40257310
ACCESS-CM2,ssp585,2042,80.48795606
ACCESS-CM2,ssp585,2043,101.74693305
ACCESS-CM2,ssp585,2044,112.50966720
ACCESS-CM2,ssp585,2045,168.26768026
ACCESS-CM2,ssp585,2046,161.30152655
ACCESS-CM2,ssp585,2047,112.55085906
ACCESS-CM2,ssp585,2048,113.97429141
ACCESS-CM2,ssp585,2049,73.30870814
ACCESS-CM2,ssp585,2050,90.68655458
ACCESS-CM2,ssp585,2051,76.82434073
ACCESS-CM2,ssp585,2052,137.12431488
ACCESS-CM2,ssp585,2053,100.49809146
ACCESS-CM2,ssp585,2054,214.02677074
ACCESS-CM2,ssp585,2055,73.63858373
ACCESS-CM2,ssp585,2056,89.12453250
ACCESS-CM2,ssp585,2057,83.68742291
ACCESS-CM2,ssp585,2058,55.79774172
ACCESS-CM2,ssp585,2059,180.99532611
ACCESS-CM2,ssp585,2060,128.46089206
ACCESS-CM2,ssp585,2061,164.33671339
ACCESS-CM2,ssp585,2062,105.21466501
ACCESS-CM2,ssp585,2063,113.57805172
ACCESS-CM2,ssp585,2064,54.04542373
ACCESS-CM2,ssp585,2065,206.32829242
ACCESS-CM2,ssp585,2066,60.93460833
ACCESS-CM2,ssp585,2067,129.50730110
ACCESS-CM2,ssp585,2068,85.72765214
ACCESS-CM2,ssp585,2069,105.22433771
ACCESS-CM2,ssp585,2070,118.34751105
ACCESS-CM2,ssp585,2071,85.41322193
ACCESS-CM2,ssp585,2072,118.84572655
ACCESS-CM2,ssp585,2073,53.63477029
ACCESS-CM2,ssp585,2074,69.07653692
ACCESS-CM2,ssp585,2075,101.21785962
ACCESS-CM2,ssp585,2076,115.98079993
ACCESS-CM2,ssp585,2077,45.28189235
ACCESS-CM2,ssp585,2078,144.19995008
ACCESS-CM2,ssp585,2079,135.62684702
ACCESS-CM2,ssp585,2080,112.93266289
ACCESS-CM2,ssp585,2081,74.79310965
ACCESS-CM2,ssp585,2082,98.87122655
ACCESS-CM2,ssp585,2083,140.88530986
ACCESS-CM2,ssp585,2084,109.41753908
ACCESS-CM2,ssp585,2085,278.84061879
ACCESS-CM2,ssp585,2086,124.43969907
ACCESS-CM2,ssp585,2087,90.50627405
ACCESS-CM2,ssp585,2088,213.47989468
ACCESS-CM2,ssp585,2089,99.78636165
ACCESS-CM2,ssp585,2090,145.06356299
ACCESS-CM2,ssp585,2091,85.51862734
ACCESS-CM2,ssp585,2092,135.90654953
ACCESS-CM2,ssp585,2093,83.83399927
ACCESS-CM2,ssp585,2094,159.80431039
ACCESS-CM2,ssp585,2095,67.70359230
ACCESS-CM2,ssp585,2096,54.20693012
ACCESS-CM2,ssp585,2097,191.75010462
ACCESS-CM2,ssp585,2098,146.61036295
ACCESS-CM2,ssp585,2099,127.29029455
AWI-CM-1-1-MR,historical,1960,117.60954363
AWI-CM-1-1-MR,historical,1961,106.52920937
AWI-CM-1-1-MR,historical,1962,122.95944173
AWI-CM-1-1-MR,historical,1963,87.10272844
AWI-CM-1-1-MR,historical,1964,236.20242194
AWI-CM-1-1-MR,historical,1965,91.75715163
AWI-CM-1-1-MR,historical,1966,57.80563555
AWI-CM-1-1-MR,historical,1967,199.11845259
AWI-CM-1-1-MR,historical,1968,59.81735327
AWI-CM-1-1-MR,historical,1969,60.39081574
AWI-CM-1-1-MR,historical,1970,118.42248810
AWI-CM-1-1-MR,historical,1971,35.00970492
AWI-CM-1-1-MR,historical,1972,109.39256875
AWI-CM-1-1-MR,historical,1973,91.15827167
AWI-CM-1-1-MR,historical,1974,98.84310530
AWI-CM-1-1-MR,historical,1975,119.38612969
AWI-CM-1-1-MR,historical,1976,186.72560954
AWI-CM-1-1-MR,historical,1977,108.08386521
AWI-CM-1-1-MR,historical,1978,107.23096155
AWI-CM-1-1-MR,historical,1979,316.70111224
AWI-CM-1-1-MR,historical,1980,60.85031287
AWI-CM-1-1-MR,historical,1981,50.98175187
AWI-CM-1-1-MR,historical,1982,133.55924475
AWI-CM-1-1-MR,historical,1983,213.84878294
AWI-CM-1-1-MR,historical,1984,55.73190901
AWI-CM-1-1-MR,historical,1985,153.92264332
AWI-CM-1-1-MR,historical,1986,112.53511159
AWI-CM-1-1-MR,historical,1987,54.67186340
AWI-CM-1-1-MR,historical,1988,53.53081465
AWI-CM-1-1-MR,historical,1989,79.78925114
AWI-CM-1-1-MR,historical,1990,49.38011413
AWI-CM-1-1-MR,historical,1991,94.43384733
AWI-CM-1-1-MR,historical,1992,162.24024323
AWI-CM-1-1-MR,historical,1993,67.96975233
AWI-CM-1-1-MR,historical,1994,135.58418878
AWI-CM-1-1-MR,historical,1995,148.66264575
AWI-CM-1-1-MR,historical,1996,145.61397768
AWI-CM-1-1-MR,historical,1997,131.78659091
AWI-CM-1-1-MR,historical,1998,71.07663182
AWI-CM-1-1-MR,historical,1999,101.73187646
AWI-CM-1-1-MR,historical,2000,107.30073813
AWI-CM-1-1-MR,historical,2001,96.69478025
AWI-CM-1-1-MR,historical,2002,283.41026341
AWI-CM-1-1-MR,historical,2003,110.51432083
AWI-CM-1-1-MR,historical,2004,159.10633054
AWI-CM-1-1-MR,historical,2005,35.41623052
AWI-CM-1-1-MR,historical,2006,89.46919029
AWI-CM-1-1-MR,historical,2007,128.33089689
AWI-CM-1-1-MR,historical,2008,81.15199821
AWI-CM-1-1-MR,historical,2009,159.07634855
AWI-CM-1-1-MR,historical,2010,44.05708801
AWI-CM-1-1-MR,historical,2011,116.91650333
AWI-CM-1-1-MR,historical,2012,104.20792296
AWI-CM-1-1-MR,historical,2013,86.17068007
AWI-CM-1-1-MR,historical,2014,94.75991501
AWI-CM-1-1-MR,ssp126,2015,112.39945607
AWI-CM-1-1-MR,ssp126,2016,44.59073326
AWI-CM-1-1-MR,ssp126,2017,113.13202640
AWI-CM-1-1-MR,ssp126,2018,63.62115368
AWI-CM-1-1-MR,ssp126,2019,54.10970025
AWI-CM-1-1-MR,ssp126,2020,208.35477187
AWI-CM-1-1-MR,ssp126,2021,160.42805411
AWI-CM-1-1-MR,ssp126,2022,56.36508974
AWI-CM-1-1-MR,ssp126,2023,185.35895301
AWI-CM-1-1-MR,ssp126,2024,28.19683253
AWI-CM-1-1-MR,ssp126,2025,285.81591905
AWI-CM-1-1-MR,ssp126,2026,46.73037556
AWI-CM-1-1-MR,ssp126,2027,96.94806472
AWI-CM-1-1-MR,ssp126,2028,23.48457978
AWI-CM-1-1-MR,ssp126,2029,146.81110141
AWI-CM-1-1-MR,ssp126,2030,251.71198038
AWI-CM-1-1-MR,ssp126,2031,153.23643526
AWI-CM-1-1-MR,ssp126,2032,241.17505174
AWI-CM-1-1-MR,ssp126,2033,142.92993384
AWI-CM-1-1-MR,ssp126,2034,116.58234535
AWI-CM-1-1-MR,ssp126,2035,82.83596914
AWI-CM-1-1-MR,ssp126,2036,93.69324381
AWI-CM-1-1-MR,ssp126,2037,67.27306874
AWI-CM-1-1-MR,ssp126,2038,65.24773457
AWI-CM-1-1-MR,ssp126,2039,75.90181630
AWI-CM-1-1-MR,ssp126,2040,98.19940793
AWI-CM-1-1-MR,ssp126,2041,87.18095130
AWI-CM-1-1-MR,ssp126,2042,79.08456469
AWI-CM-1-1-MR,ssp126,2043,46.27570557
AWI-CM-1-1-MR,ssp126,2044,51.78533381
AWI-CM-1-1-MR,ssp126,2045,77.96634888
AWI-CM-1-1-MR,ssp126,2046,118.65016146
AWI-CM-1-1-MR,ssp126,2047,114.34524692
AWI-CM-1-1-MR,ssp126,2048,68.46138115
AWI-CM-1-1-MR,ssp126,2049,194.38435042
AWI-CM-1-1-MR,ssp126,2050,135.19130703
AWI-CM-1-1-MR,ssp126,2051,123.07827417
AWI-CM-1-1-MR,ssp126,2052,70.63662671
AWI-CM-1-1-MR,ssp126,2053,76.33832449
AWI-CM-1-1-MR,ssp126,2054,46.58201196
AWI-CM-1-1-MR,ssp126,2055,67.62015737
AWI-CM-1-1-MR,ssp126,2056,87.62222951
AWI-CM-1-1-MR,ssp126,2057,111.08134491
AWI-CM-1-1-MR,ssp126,2058,74.20564953
AWI-CM-1-1-MR,ssp126,2059,24.02975471
AWI-CM-1-1-MR,ssp126,2060,30.85777421
AWI-CM-1-1-MR,ssp126,2061,94.53399009
AWI-CM-1-1-MR,ssp126,2062,134.15932531
AWI-CM-1-1-MR,ssp126,2063,158.61146338
